date,game_num,day_of_week,v_team,v_league,v_game_num,h_team,h_league,h_game_num,v_score,h_score,length_in_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,time_of_game_min,v_line_score,h_line_score,v_at_bats,v_hits,v_doubles,v_triples,v_homeruns,v_rbi,v_sacrifice_hits,v_sacrifice_flies,v_hit_by_pitch,v_walks,v_intentional_walks,v_strikeouts,v_stolen_bases,v_caught_stealing,v_grounded_into_dp,v_catcher_interference,v_left_on_base,v_pitchers_used,v_individual_earned_runs,v_team_earned_runs,v_wild_pitches,v_balks,v_putouts,v_assists,v_errors,v_passed_balls,v_double_plays,v_triple_plays,h_at_bats,h_hits,h_doubles,h_triples,h_homeruns,h_rbi,h_sacrifice_hits,h_sacrifice_flies,h_hit_by_pitch,h_walks,h_intentional_walks,h_strikeouts,h_stolen_bases,h_caught_stealing,h_grounded_into_dp,h_catcher_interference,h_left_on_base,h_pitchers_used,h_individual_earned_runs,h_team_earned_runs,h_wild_pitches,h_balks,h_putouts,h_assists,h_errors,h_passed_balls,h_double_plays,h_triple_plays,hp_umpire_id,hp_umpire_name,1b_umpire_id,1b_umpire_name,2b_umpire_id,2b_umpire_name,3b_umpire_id,3b_umpire_name,lf_umpire_id,lf_umpire_name,rf_umpire_id,rf_umpire_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,gwrbi_batter_id,gwrbi_batter_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info
"20241001","0","Tue","NYN","NL",1,"MIL","NL",1,8,4,54,"D","","","","MIL06",40022,163,"030050000","200200000",33,7,1,1,0,8,0,1,0,5,1,8,0,0,0,0,4,3,3,3,0,0,27,6,1,0,1,0,34,8,3,0,0,4,0,0,1,2,0,7,0,0,1,0,6,5,8,8,1,0,27,6,0,0,0,0,"tosia901","Alex Tosi","segac901","Chris Segal","carav901","Vic Carapazza","porta901","Alan Porter","estam901","Mike Estabrook","millb903","Brennan Miller","mendc801","Carlos Mendoza","murpp801","Pat Murphy","sevel001","Luis Severino","payaj001","Joel Payamps","","(none)","vienm001","Mark Vientos","sevel001","Luis Severino","peraf001","Freddy Peralta","lindf001","Francisco Lindor",6,"iglej001","Jose Iglesias",4,"nimmb001","Brandon Nimmo",7,"vienm001","Mark Vientos",5,"alonp001","Pete Alonso",3,"winkj002","Jesse Winker",10,"marts002","Starling Marte",9,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"turab002","Brice Turang",4,"chouj001","Jackson Chourio",7,"contw002","William Contreras",2,"mitcg001","Garrett Mitchell",8,"adamw002","Willy Adames",6,"bauej001","Jake Bauers",10,"hoskr001","Rhys Hoskins",3,"frels001","Sal Frelick",9,"ortij005","Joey Ortiz",5,"","Y"
"20241001","0","Tue","ATL","NL",1,"SDN","NL",1,0,4,51,"N","","","","SAN02",47647,129,"000000000","21000001x",34,7,1,0,0,0,0,0,0,0,0,15,1,0,0,0,7,4,4,4,0,0,24,10,0,0,2,0,26,5,0,0,2,4,0,1,1,1,0,5,0,0,2,0,1,3,0,0,0,0,27,5,0,0,0,0,"cejan901","Nestor Ceja","cuzzp901","Phil Cuzzi","viscj901","Jansen Visconti","iassd901","Dan Iassogna","wegnm901","Mark Wegner","bacce901","Erich Bacchus","snitb801","Brian Snitker","shilm801","Mike Shildt","kingm002","Michael King","smita001","AJ Smith-Shawver","","(none)","tatif002","Fernando Tatis","smita001","AJ Smith-Shawver","kingm002","Michael King","harrm004","Michael Harris",8,"albio001","Ozzie Albies",4,"ozunm001","Marcell Ozuna",10,"olsom001","Matt Olson",3,"solej001","Jorge Soler",9,"laurr001","Ramon Laureano",7,"darnt001","Travis d'Arnaud",2,"urshg001","Giovanny Urshela",5,"arcio002","Orlando Arcia",6,"arral001","Luis Arraez",10,"tatif002","Fernando Tatis",9,"profj001","Jurickson Profar",7,"machm001","Manny Machado",5,"merrj002","Jackson Merrill",8,"bogax001","Xander Bogaerts",6,"cronj001","Jake Cronenworth",4,"solad001","Donovan Solano",3,"higak001","Kyle Higashioka",2,"","Y"
"20241001","0","Tue","KCA","AL",1,"BAL","AL",1,1,0,54,"D","","","","BAL12",41506,145,"000001000","000000000",29,5,0,0,0,1,0,0,0,2,0,4,2,1,1,0,3,4,0,0,0,0,27,4,0,0,0,0,32,5,2,0,0,0,0,0,0,2,0,10,0,0,0,0,7,3,1,1,0,0,27,8,0,0,2,0,"addir901","Ryan Additon","may-b901","Ben May","lentn901","Nic Lentz","millb901","Bill Miller","rackd901","David Rackley","moorm901","Malachi Moore","quatm801","Matt Quatraro","hydeb801","Brandon Hyde","ragac001","Cole Ragans","burnc002","Corbin Burnes","ercel001","Lucas Erceg","wittb002","Bobby Witt","ragac001","Cole Ragans","burnc002","Corbin Burnes","massm001","Michael Massey",4,"wittb002","Bobby Witt",6,"pasqv001","Vinnie Pasquantino",10,"peres002","Salvador Perez",2,"gurry001","Yulieski Gurriel",3,"melem001","MJ Melendez",7,"phamt001","Tommy Pham",9,"isbek001","Kyle Isbel",8,"garcm003","Maikel Garcia",5,"hendg002","Gunnar Henderson",6,"westj002","Jordan Westburg",4,"santa003","Anthony Santander",9,"mounr001","Ryan Mountcastle",3,"rutsa001","Adley Rutschman",10,"cowsc001","Colton Cowser",7,"uriar001","Ramon Urias",5,"mullc002","Cedric Mullins",8,"mccaj001","James McCann",2,"","Y"
"20241001","0","Tue","DET","AL",1,"HOU","AL",1,3,1,54,"D","","","","HOU03",40617,181,"030000000","000000001",35,10,2,0,0,3,0,0,0,6,0,10,1,0,1,0,11,5,1,1,0,0,27,5,0,0,0,0,33,7,1,0,0,1,1,0,0,2,0,10,0,0,0,0,8,6,3,3,0,0,27,8,0,0,1,0,"randt901","Tony Randazzo","bakej902","Jordan Baker","littw901","Will Little","marqa901","Alfonso Marquez","rehaj901","Jeremie Rehak","valej901","Junior Valentine","hinca001","A.J. Hinch","espaj801","Joey Espada","skubt001","Tarik Skubal","valdf001","Framber Valdez","brieb001","Beau Brieske","rogej004","Jake Rogers","skubt001","Tarik Skubal","valdf001","Framber Valdez","vierm001","Matt Vierling",5,"mallj001","Justyn-Henry Malloy",10,"greer003","Riley Greene",7,"ibana001","Andy Ibanez",4,"perew002","Wenceel Perez",9,"torks001","Spencer Torkelson",3,"meadp001","Parker Meadows",8,"rogej004","Jake Rogers",2,"sweet001","Trey Sweeney",6,"altuj001","Jose Altuve",4,"tuckk001","Kyle Tucker",9,"alvay001","Yordan Alvarez",10,"brega001","Alex Bregman",5,"diazy004","Yainer Diaz",2,"penaj004","Jeremy Pena",6,"carav001","Victor Caratini",3,"dubom001","Mauricio Dubon",7,"meyej002","Jake Meyers",8,"","Y"
"20241002","0","Wed","NYN","NL",2,"MIL","NL",2,3,5,51,"N","","","","MIL06",40350,163,"120000000","10001003x",33,8,0,0,0,3,0,1,1,4,1,7,1,0,2,0,9,4,5,5,0,0,24,12,0,0,1,0,32,11,1,0,3,5,0,1,0,0,0,5,0,1,1,0,4,6,1,1,0,1,27,11,1,0,2,0,"segac901","Chris Segal","carav901","Vic Carapazza","porta901","Alan Porter","estam901","Mike Estabrook","millb903","Brennan Miller","tosia901","Alex Tosi","mendc801","Carlos Mendoza","murpp801","Pat Murphy","rossj002","Joe Ross","matop002","Phil Maton","willd004","Devin Williams","mitcg001","Garrett Mitchell","manas001","Sean Manaea","montf001","Frankie Montas","lindf001","Francisco Lindor",6,"iglej001","Jose Iglesias",4,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"martj006","J.D. Martinez",10,"marts002","Starling Marte",9,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"chouj001","Jackson Chourio",7,"perkb002","Blake Perkins",8,"contw002","William Contreras",2,"adamw002","Willy Adames",6,"sancg002","Gary Sanchez",10,"hoskr001","Rhys Hoskins",3,"frels001","Sal Frelick",9,"ortij005","Joey Ortiz",5,"turab002","Brice Turang",4,"","Y"
"20241002","0","Wed","ATL","NL",2,"SDN","NL",2,4,5,51,"N","","","","SAN02",47705,165,"100010020","05000000x",32,6,1,0,2,4,0,1,0,1,0,8,0,0,0,0,3,5,5,5,0,0,24,6,0,0,0,0,35,10,2,1,1,5,0,0,0,2,0,6,0,0,0,0,8,6,4,4,0,0,27,7,0,0,0,0,"cuzzp901","Phil Cuzzi","viscj901","Jansen Visconti","iassd901","Dan Iassogna","wegnm901","Mark Wegner","bacce901","Erich Bacchus","cejan901","Nestor Ceja","snitb801","Brian Snitker","shilm801","Mike Shildt","hoeib001","Bryan Hoeing","friem001","Max Fried","suarr002","Robert Suarez","machm001","Manny Machado","friem001","Max Fried","musgj001","Joe Musgrove","harrm004","Michael Harris",8,"albio001","Ozzie Albies",4,"ozunm001","Marcell Ozuna",10,"olsom001","Matt Olson",3,"solej001","Jorge Soler",9,"laurr001","Ramon Laureano",7,"urshg001","Giovanny Urshela",5,"murps001","Sean Murphy",2,"arcio002","Orlando Arcia",6,"arral001","Luis Arraez",10,"tatif002","Fernando Tatis",9,"profj001","Jurickson Profar",7,"machm001","Manny Machado",5,"merrj002","Jackson Merrill",8,"bogax001","Xander Bogaerts",6,"solad001","Donovan Solano",3,"cronj001","Jake Cronenworth",4,"higak001","Kyle Higashioka",2,"","Y"
"20241002","0","Wed","KCA","AL",2,"BAL","AL",2,2,1,54,"D","","","","BAL12",38698,184,"100001000","000010000",35,9,1,0,0,2,0,0,2,4,0,10,1,1,0,0,12,6,1,1,0,0,27,7,1,0,0,0,34,6,0,0,1,1,0,0,1,2,0,12,0,0,0,0,9,7,2,2,0,0,27,9,0,0,0,0,"may-b901","Ben May","lentn901","Nic Lentz","millb901","Bill Miller","rackd901","David Rackley","moorm901","Malachi Moore","addir901","Ryan Additon","quatm801","Matt Quatraro","hydeb801","Brandon Hyde","zerpa001","Angel Zerpa","perec004","Cionel Perez","ercel001","Lucas Erceg","wittb002","Bobby Witt","lugos001","Seth Lugo","efliz001","Zach Eflin","massm001","Michael Massey",4,"wittb002","Bobby Witt",6,"pasqv001","Vinnie Pasquantino",10,"peres002","Salvador Perez",2,"gurry001","Yulieski Gurriel",3,"melem001","MJ Melendez",7,"renfh001","Hunter Renfroe",9,"isbek001","Kyle Isbel",8,"garcm003","Maikel Garcia",5,"hendg002","Gunnar Henderson",6,"westj002","Jordan Westburg",4,"santa003","Anthony Santander",9,"cowsc001","Colton Cowser",7,"rutsa001","Adley Rutschman",2,"ohear001","Ryan O'Hearn",10,"mounr001","Ryan Mountcastle",3,"mullc002","Cedric Mullins",8,"uriar001","Ramon Urias",5,"","Y"
"20241002","0","Wed","DET","AL",2,"HOU","AL",2,5,2,54,"D","","","","HOU03",40824,175,"000001040","000000200",34,7,2,0,1,4,0,0,0,6,0,13,1,1,0,0,8,7,2,2,0,0,27,17,0,0,3,0,29,5,0,0,0,2,0,1,2,3,0,5,1,0,3,0,6,4,5,5,1,0,27,10,1,0,0,0,"bakej902","Jordan Baker","littw901","Will Little","marqa901","Alfonso Marquez","rehaj901","Jeremie Rehak","valej901","Junior Valentine","randt901","Tony Randazzo","hinca001","A.J. Hinch","espaj801","Joey Espada","guens001","Sean Guenther","presr001","Ryan Pressly","vestw001","Will Vest","ibana001","Andy Ibanez","holtt002","Tyler Holton","browh001","Hunter Brown","meadp001","Parker Meadows",8,"carpk001","Kerry Carpenter",10,"vierm001","Matt Vierling",9,"greer003","Riley Greene",7,"keitc001","Colt Keith",4,"torks001","Spencer Torkelson",3,"mckiz001","Zach McKinstry",5,"sweet001","Trey Sweeney",6,"rogej004","Jake Rogers",2,"altuj001","Jose Altuve",4,"tuckk001","Kyle Tucker",9,"alvay001","Yordan Alvarez",10,"brega001","Alex Bregman",5,"diazy004","Yainer Diaz",2,"carav001","Victor Caratini",3,"penaj004","Jeremy Pena",6,"heywj001","Jason Heyward",7,"mccoc001","Chas McCormick",8,"","Y"
"20241003","0","Thu","NYN","NL",3,"MIL","NL",3,4,2,54,"N","","","","MIL06",41594,170,"000000004","000000200",32,5,1,0,1,4,0,0,2,1,0,9,1,0,0,0,4,4,2,2,0,0,27,12,0,0,1,0,33,7,1,0,2,2,0,0,0,3,0,9,5,0,1,0,7,6,4,4,1,0,27,6,0,0,0,0,"carav901","Vic Carapazza","porta901","Alan Porter","estam901","Mike Estabrook","millb903","Brennan Miller","tosia901","Alex Tosi","segac901","Chris Segal","mendc801","Carlos Mendoza","murpp801","Pat Murphy","diaze006","Edwin Diaz","willd004","Devin Williams","peted003","David Peterson","alonp001","Pete Alonso","quinj001","Jose Quintana","myert001","Tobias Myers","lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"iglej001","Jose Iglesias",4,"winkj002","Jesse Winker",10,"marts002","Starling Marte",9,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"chouj001","Jackson Chourio",7,"perkb002","Blake Perkins",8,"contw002","William Contreras",10,"adamw002","Willy Adames",6,"sancg002","Gary Sanchez",2,"hoskr001","Rhys Hoskins",3,"frels001","Sal Frelick",9,"ortij005","Joey Ortiz",5,"turab002","Brice Turang",4,"","Y"
